dataset,method,f1,auc,anice,snice,ece,mce,brier
IMDB,pudra,0.7745849297573435,0.8553265376000001,0.1252178834614054,0.02293827436899143,0.025554734133481978,0.11492613896650616,0.1564348147175441
IMDB,vpudra_naive_logmse,0.7779674166020171,0.8538206368,0.5993290295454549,0.36924605392567683,0.13759974046468734,0.26287293434143066,0.17966299690641135
IMDB,distpu,0.7699197756834645,0.8452255968,0.8068675864437118,0.6303796926466826,0.19515144930217415,0.3219370122939821,0.21032121563000014
IMDB,vpudra_fixed,0.7704636519748139,0.8600444992,0.17795876845235017,0.047755428752898475,0.05512487534999845,0.1557932669404822,0.15775784836831
IMDB,pudra_naive,0.7552240036269217,0.8478784416,0.7055194222329078,0.4693695015742722,0.14631429139368238,0.29527451790473314,0.18834972217472046
20News,vpu,0.8832923832923832,0.93621321267311,0.24132861739860648,0.0598997480174384,0.04448022354004454,0.12235662211542542,0.09736156496863345
20News,pn,0.919977233921457,0.9739006004613107,0.8508668073480663,0.7549210198780074,0.06735022727595925,0.45254559884561557,0.07620265870273231
20News,pn_naive,0.8685938039847979,0.918453951963669,2.806424526915946,5.970051791055616,0.5012231339501199,0.8173196300571649,0.4653373558548584
20News,nnpu,0.8778215693299892,0.9316930438796003,0.7058681198972827,0.4637998812357605,0.1062742837368888,0.39175106036035634,0.11917622181692021
20News,pudra,0.8741024413595021,0.9353398287453247,0.3647969200213676,0.14904374873805187,0.056188153332980696,0.2690921127796173,0.10421173490201675
20News,vpudra_naive_logmse,0.8841675669187372,0.9390895207410577,0.6563596455577018,0.4575649174462689,0.18608693112789856,0.30688606906058224,0.1375737793130898
20News,distpu,0.8803079794680355,0.9352473198967458,0.7703139077147954,0.5849303955976064,0.10454092255783123,0.423908817963522,0.11824083339610253
20News,vpudra_fixed,0.8720216163104888,0.9331523888940042,0.2582136066167701,0.06835371206646747,0.050239148208464944,0.15224437202726093,0.10386352712782196
20News,pudra_naive,0.8700906344410876,0.941075807630933,0.8256293048509845,0.6054971282280194,0.1854738713980544,0.33180665969848633,0.13979995492355266
