dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_test_auc,baseline_test_auc,improvement,best_auc,best_max_f1,best_f1
MNIST,42,0.5,0.5918403200086488,0.5,-0.09184032000864883,lower,0.9985039923144765,0.9974605637618864,0.0010434285525900977,0.9985039923144765,0.9850232746407611,0.9847828277738587
MNIST,42,0.9,0.6474783197357518,auto,0.0,auto,0.9986692285078123,0.9986692285078123,0.0,0.9986692285078123,0.9847870182555781,0.9835966589513938
MNIST,456,0.1,0.5153484491086185,0.5,-0.015348449108618545,lower,0.9969150442712973,0.9968585518972076,5.649237408966723e-05,0.9969150442712973,0.9769184045353312,0.9737299396913013
MNIST,456,0.5,0.5918403200086488,auto,0.0,auto,0.9983777246568089,0.9983777246568089,0.0,0.9983777246568089,0.9843228481844847,0.9826961770623742
MNIST,456,0.9,0.6474783197357518,auto,0.0,auto,0.9989318060227913,0.9989318060227913,0.0,0.9989318060227913,0.9862012987012987,0.9854339469957516
MNIST,789,0.1,0.5153484491086185,0.7,0.1846515508913814,higher,0.996754329068239,0.9956646103762569,0.0010897186919821555,0.996754329068239,0.9747306956609283,0.9747306956609282
MNIST,789,0.5,0.5918403200086488,0.7,0.10815967999135112,higher,0.999003021621856,0.9989718948038377,3.112681801820116e-05,0.999003021621856,0.9871105247132853,0.9868889114747433
MNIST,789,0.9,0.6474783197357518,auto,0.0,auto,0.9993069281895506,0.9993069281895506,0.0,0.9993069281895506,0.9899624860590084,0.9887844801454987
Mushrooms,42,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9999135428327008,0.9998528711363506,6.067169635026737e-05,0.9999135428327008,0.996173469387755,0.9903412749517064
Mushrooms,42,0.5,0.5827175954915467,0.3,-0.2827175954915467,lower,1.0,0.9999893824531387,1.0617546861269034e-05,1.0,1.0,0.9903288201160542
Mushrooms,42,0.9,0.6388075880758808,auto,0.0,auto,1.0,1.0,0.0,1.0,1.0,0.9993618379068283
Mushrooms,456,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9994039005833584,0.9993781151124095,2.5785470948891387e-05,0.9994039005833584,0.990990990990991,0.9890815671162492
Mushrooms,456,0.5,0.5827175954915467,auto,0.0,auto,0.9999984832075912,0.9999984832075912,0.0,0.9999984832075912,0.9993618379068284,0.9987228607918263
Mushrooms,456,0.9,0.6388075880758808,0.5,-0.13880758807588078,lower,0.9999984832075912,0.9998134345337228,0.00018504867386837098,0.9999984832075912,0.9993618379068284,0.9993610223642172
Mushrooms,789,0.1,0.5059311981020166,0.3,-0.2059311981020166,lower,0.9987547134324102,0.9979007593062799,0.0008539541261303185,0.9987547134324102,0.9897959183673469,0.9511051574012056
Mushrooms,789,0.5,0.5827175954915467,0.9,0.31728240450845335,higher,1.0,0.9999726977366423,2.7302263357675827e-05,1.0,1.0,0.9993618379068283
Mushrooms,789,0.9,0.6388075880758808,0.9,0.26119241192411924,higher,1.0,0.9996541713308033,0.00034582866919674604,1.0,1.0,0.9949174078780177
Spambase,42,0.1,0.41679873217115687,0.5,0.08320126782884313,higher,0.9410231345715216,0.9180169238820264,0.023006210689495266,0.9410231345715216,0.8611500701262272,0.8555240793201133
Spambase,42,0.5,0.4935779816513762,0.7,0.20642201834862378,higher,0.9628543499511241,0.9542936698361919,0.008560680114932162,0.9628543499511241,0.8969210174029452,0.89280868385346
Spambase,42,0.9,0.5524929063640048,0.5,-0.05249290636400483,lower,0.9712471735932146,0.9550095283233113,0.016237645269903234,0.9712471735932146,0.9100817438692097,0.9041835357624831
Spambase,456,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.9582876664988103,0.927451445046753,0.030836221452057222,0.9582876664988103,0.8885714285714285,0.8791500664010624
Spambase,456,0.5,0.4935779816513762,0.7,0.20642201834862378,higher,0.9716125082693998,0.9556908281248457,0.015921680144554085,0.9716125082693998,0.9160935350756533,0.9027237354085603
Spambase,456,0.9,0.5524929063640048,0.7,0.14750709363599512,higher,0.9706744868035191,0.943634783810737,0.027039702992782133,0.9706744868035191,0.9125168236877524,0.8935064935064935
Spambase,789,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.941457586618877,0.9041959181255369,0.03726166849334012,0.941457586618877,0.871866295264624,0.8427835051546392
Spambase,789,0.5,0.4935779816513762,0.5,0.006422018348623826,higher,0.9650216732328168,0.9649723036819812,4.936955083567618e-05,0.9650216732328168,0.9170068027210885,0.9042553191489362
Spambase,789,0.9,0.5524929063640048,auto,0.0,auto,0.9643304995211153,0.9643304995211153,0.0,0.9643304995211153,0.9125168236877524,0.8952879581151832
