dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_test_ap,baseline_test_ap,improvement,best_auc,best_max_f1,best_f1
IMDB,42,0.1,0.5238003617193212,0.2,-0.3238003617193212,lower,0.8534641839331178,0.8518187503345371,0.0016454335985807145,0.8552061056,0.7822009021264409,0.5213714285714286
IMDB,42,0.5,0.5999935352490545,0.1,-0.49999353524905454,lower,0.8858258623757761,0.875472126141992,0.010353736233784105,0.8871300799999998,0.8113897793701679,0.3257333333333333
IMDB,42,0.9,0.6551676094407446,0.1,-0.5551676094407446,lower,0.8912690187279919,0.8885584306163443,0.002710588111647594,0.8933268992000001,0.8168331819557977,0.3257333333333333
IMDB,456,0.1,0.5238003617193212,0.7,0.17619963828067875,higher,0.8647846233410513,0.8619577804607272,0.0028268428803240875,0.8681813791999999,0.7959622949602911,0.7946678450434527
IMDB,456,0.5,0.5999935352490545,0.1,-0.49999353524905454,lower,0.8812602723936326,0.8794763576852189,0.0017839147084136586,0.8844505728000001,0.810108412344653,0.324
IMDB,456,0.9,0.6551676094407446,auto,0.0,auto,0.8881314668754746,0.8881314668754746,0.0,0.889534528,0.8134660333257935,0.8108461538461539
IMDB,789,0.1,0.5238003617193212,0.5,-0.023800361719321206,lower,0.8610633656982783,0.8609898627906336,7.350290764474021e-05,0.8617046239999999,0.7893368486579516,0.7883956556600336
IMDB,789,0.5,0.5999935352490545,0.2,-0.3999935352490545,lower,0.8829467480809773,0.8656856603559547,0.01726108772502255,0.8842974144,0.8081818181818181,0.5393142857142857
IMDB,789,0.9,0.6551676094407446,0.2,-0.4551676094407446,lower,0.8920905456760211,0.8841234340091303,0.007967111666890792,0.8931979456000001,0.8159310265898599,0.5425142857142857
MNIST,42,0.1,0.5153484491086185,0.9,0.3846515508913815,higher,0.9960356819181208,0.9951610421195158,0.0008746397986049148,0.9965142364783584,0.97479501973884,0.9730107956817273
MNIST,42,0.5,0.5918403200086488,0.5,-0.09184032000864883,lower,0.9983460493609445,0.9970353486083444,0.0013107007526000913,0.9985039923144765,0.9850232746407611,0.9847828277738587
MNIST,42,0.9,0.6474783197357518,auto,0.0,auto,0.9984928420666158,0.9984928420666158,0.0,0.9986692285078123,0.9847870182555781,0.9835966589513938
MNIST,456,0.1,0.5153484491086185,0.5,-0.015348449108618545,lower,0.9965584900163827,0.9964404493531244,0.00011804066325837859,0.9969150442712973,0.9769184045353312,0.9737299396913013
MNIST,456,0.5,0.5918403200086488,auto,0.0,auto,0.9981532954537952,0.9981532954537952,0.0,0.9983777246568089,0.9843228481844847,0.9826961770623742
MNIST,456,0.9,0.6474783197357518,auto,0.0,auto,0.9988381894129408,0.9988381894129408,0.0,0.9989318060227913,0.9862012987012987,0.9854339469957516
MNIST,789,0.1,0.5153484491086185,0.7,0.1846515508913814,higher,0.9964724936977939,0.9952795881311017,0.0011929055666921595,0.996754329068239,0.9747306956609283,0.9747306956609282
MNIST,789,0.5,0.5918403200086488,0.7,0.10815967999135112,higher,0.9989359677212329,0.9988821469409244,5.382078030857773e-05,0.999003021621856,0.9871105247132853,0.9868889114747433
MNIST,789,0.9,0.6474783197357518,auto,0.0,auto,0.9992463441910898,0.9992463441910898,0.0,0.9993069281895506,0.9899624860590084,0.9887844801454987
Mushrooms,42,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9999080965916375,0.999842353948498,6.574264313952138e-05,0.9999135428327008,0.996173469387755,0.9903412749517064
Mushrooms,42,0.5,0.5827175954915467,0.3,-0.2827175954915467,lower,1.0,0.9999886176437949,1.1382356205125177e-05,1.0,1.0,0.9903288201160542
Mushrooms,42,0.9,0.6388075880758808,auto,0.0,auto,1.0,1.0,0.0,1.0,1.0,0.9993618379068283
Mushrooms,456,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9994514083174483,0.999361880745401,8.952757204727657e-05,0.9994039005833584,0.990990990990991,0.9890815671162492
Mushrooms,456,0.5,0.5827175954915467,auto,0.0,auto,0.9999983709959079,0.9999983709959079,0.0,0.9999984832075912,0.9993618379068284,0.9987228607918263
Mushrooms,456,0.9,0.6388075880758808,0.5,-0.13880758807588078,lower,0.9999983709959079,0.9997993612936144,0.0001990097022935844,0.9999984832075912,0.9993618379068284,0.9993610223642172
Mushrooms,789,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9990945026554444,0.9977987176643066,0.001295784991137805,0.9987410623007313,0.9980806142034548,0.9980806142034548
Mushrooms,789,0.5,0.5827175954915467,0.9,0.31728240450845335,higher,1.0,0.9999708508086086,2.9149191391408813e-05,1.0,1.0,0.9993618379068283
Mushrooms,789,0.9,0.6388075880758808,0.9,0.26119241192411924,higher,1.0,0.9996318395112397,0.00036816048876031626,1.0,1.0,0.9949174078780177
Spambase,42,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.9188973851324033,0.9087157027713717,0.010181682361031563,0.9387175765474886,0.8479776847977685,0.8180677540777918
Spambase,42,0.5,0.4935779816513762,0.9,0.40642201834862385,higher,0.9436770295536083,0.9219142496370918,0.02176277991651654,0.962489015274939,0.8958051420838973,0.8918558077436582
Spambase,42,0.9,0.5524929063640048,0.5,-0.05249290636400483,lower,0.9503437363937745,0.9283384592618885,0.022005277131885936,0.9712471735932146,0.9100817438692097,0.9041835357624831
Spambase,456,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.9418109767666717,0.9148951982998621,0.026915778466809592,0.9582876664988103,0.8885714285714285,0.8791500664010624
Spambase,456,0.5,0.4935779816513762,0.3,-0.19357798165137619,lower,0.9452427165662043,0.9127551809702278,0.0324875355959765,0.9712965431440505,0.9153439153439155,0.8291925465838509
Spambase,456,0.9,0.5524929063640048,0.7,0.14750709363599512,higher,0.94514376999991,0.907861128972313,0.03728264102759704,0.9706744868035191,0.9125168236877524,0.8935064935064935
Spambase,789,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.903813137246646,0.8765346263187871,0.027278510927858934,0.941457586618877,0.871866295264624,0.8427835051546392
Spambase,789,0.5,0.4935779816513762,0.2,-0.29357798165137616,lower,0.9173303893106702,0.908918136622699,0.008412252687971189,0.9289127837514934,0.8462585034013606,0.6617915904936015
Spambase,789,0.9,0.5524929063640048,0.3,-0.25249290636400484,lower,0.9153081284592272,0.9111195052866956,0.004188623172531547,0.9511488294479498,0.8882602545968883,0.7785016286644951
