dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_test_max_f1,baseline_test_max_f1,improvement,best_auc,best_max_f1,best_f1
MNIST,42,0.5,0.5918403200086488,0.5,-0.09184032000864883,lower,0.9850232746407611,0.980439604759024,0.004583669881737085,0.9985039923144765,0.9850232746407611,0.9847828277738587
MNIST,42,0.9,0.6474783197357518,0.5,-0.14747831973575176,lower,0.9907829433809379,0.9847870182555781,0.005995925125359736,0.9983976890298052,0.9907829433809379,0.9890997174000807
MNIST,456,0.1,0.5153484491086185,0.5,-0.015348449108618545,lower,0.9769184045353312,0.9766505636070852,0.00026784092824594374,0.9969150442712973,0.9769184045353312,0.9737299396913013
MNIST,456,0.5,0.5918403200086488,auto,0.0,auto,0.9843228481844847,0.9843228481844847,0.0,0.9983777246568089,0.9843228481844847,0.9826961770623742
MNIST,456,0.9,0.6474783197357518,auto,0.0,auto,0.9862012987012987,0.9862012987012987,0.0,0.9989318060227913,0.9862012987012987,0.9854339469957516
MNIST,789,0.1,0.5153484491086185,0.7,0.1846515508913814,higher,0.9747306956609283,0.9717502764652659,0.002980419195662387,0.996754329068239,0.9747306956609283,0.9747306956609282
MNIST,789,0.5,0.5918403200086488,0.7,0.10815967999135112,higher,0.9871105247132853,0.9869867850297589,0.00012373968352641374,0.999003021621856,0.9871105247132853,0.9868889114747433
MNIST,789,0.9,0.6474783197357518,0.7,0.052521680264248194,higher,0.9901592776706909,0.9899624860590084,0.0001967916116825119,0.999293405227481,0.9901592776706909,0.989774222942189
Mushrooms,42,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.996173469387755,0.9955385595920969,0.0006349097956580563,0.9999135428327008,0.996173469387755,0.9903412749517064
Mushrooms,42,0.5,0.5827175954915467,0.3,-0.2827175954915467,lower,1.0,0.998085513720485,0.0019144862795149598,1.0,1.0,0.9903288201160542
Mushrooms,42,0.9,0.6388075880758808,auto,0.0,auto,1.0,1.0,0.0,1.0,1.0,0.9993618379068283
Mushrooms,456,0.1,0.5059311981020166,0.3,-0.2059311981020166,lower,0.994234465086483,0.9897959183673469,0.004438546719136127,0.9988593721086144,0.994234465086483,0.9883870967741936
Mushrooms,456,0.5,0.5827175954915467,0.3,-0.2827175954915467,lower,0.9993618379068284,0.9993618379068284,0.0,0.9999893824531387,0.9993618379068284,0.993573264781491
Mushrooms,456,0.9,0.6388075880758808,0.5,-0.13880758807588078,lower,0.9993618379068284,0.9942711648631445,0.005090673043683935,0.9999984832075912,0.9993618379068284,0.9993610223642172
Mushrooms,789,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9980806142034548,0.979047619047619,0.019032995155835786,0.9987410623007313,0.9980806142034548,0.9980806142034548
Mushrooms,789,0.5,0.5827175954915467,0.9,0.31728240450845335,higher,1.0,0.9974424552429666,0.002557544757033403,1.0,1.0,0.9993618379068283
Mushrooms,789,0.9,0.6388075880758808,0.9,0.26119241192411924,higher,1.0,0.9923664122137406,0.007633587786259444,1.0,1.0,0.9949174078780177
Spambase,42,0.1,0.41679873217115687,0.5,0.08320126782884313,higher,0.8611500701262272,0.836676217765043,0.024473852361184267,0.9410231345715216,0.8611500701262272,0.8555240793201133
Spambase,42,0.5,0.4935779816513762,0.7,0.20642201834862378,higher,0.8969210174029452,0.8888888888888888,0.008032128514056325,0.9628543499511241,0.8969210174029452,0.89280868385346
Spambase,42,0.9,0.5524929063640048,0.5,-0.05249290636400483,lower,0.9100817438692097,0.8928571428571428,0.01722460101206691,0.9712471735932146,0.9100817438692097,0.9041835357624831
Spambase,456,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.8885714285714285,0.8430232558139535,0.045548172757474914,0.9582876664988103,0.8885714285714285,0.8791500664010624
Spambase,456,0.5,0.4935779816513762,0.9,0.40642201834862385,higher,0.9168900804289544,0.8978494623655915,0.01904061806336288,0.9707386672196057,0.9168900804289544,0.8968152866242038
Spambase,456,0.9,0.5524929063640048,0.7,0.14750709363599512,higher,0.9125168236877524,0.8771929824561404,0.03532384123161203,0.9706744868035191,0.9125168236877524,0.8935064935064935
Spambase,789,0.1,0.41679873217115687,0.9,0.48320126782884315,higher,0.871866295264624,0.8027972027972028,0.06906909246742121,0.941457586618877,0.871866295264624,0.8427835051546392
Spambase,789,0.5,0.4935779816513762,0.5,0.006422018348623826,higher,0.9170068027210885,0.9159891598915989,0.0010176428294895734,0.9650216732328168,0.9170068027210885,0.9042553191489362
Spambase,789,0.9,0.5524929063640048,0.5,-0.05249290636400483,lower,0.9147496617050067,0.9125168236877524,0.0022328380172542683,0.9622125457902585,0.9147496617050067,0.9130434782608695
